Year,Food sales at grocery stores with taxes and tips (millions of nominal U.S. dollars),Food sales at convenience stores with taxes and tips (millions of nominal U.S. dollars),Food sales at other food stores with taxes and tips (millions of nominal U.S. dollars),Food sales at warehouse clubs and supercenters with taxes and tips (millions of nominal U.S. dollars),Food sales at other stores and foodservice with taxes and tips (millions of nominal U.S. dollars),"Direct food selling by farmers, manufacturers, and wholesalers with taxes and tips (millions of nominal U.S. dollars)",Home food production and donations (millions of nominal U.S. dollars),Total food-at-home expenditures with taxes and tips (millions of nominal U.S. dollars),Food sales at full-service restaurants with taxes and tips (millions of nominal U.S. dollars),Food sales at limited-service restaurants with taxes and tips (millions of nominal U.S. dollars),Food sales at drinking places with taxes and tips (millions of nominal U.S. dollars),Food sales at hotels and motels with taxes and tips (millions of nominal U.S. dollars),Food sales at retail stores with taxes and tips (millions of nominal U.S. dollars),Food sales at recreational places with taxes and tips (millions of nominal U.S. dollars),Food sales at schools and colleges with taxes and tips (millions of nominal U.S. dollars),"Food sales at other establishments, not elsewhere classified, with taxes and tips (millions of nominal U.S. dollars)",Food furnished and donated (millions of nominal U.S. dollars),Total food-away-from-home expenditures with taxes and tips (millions of nominal U.S. dollars),Alcohol sales at liquor stores with taxes and tips (millions of nominal U.S. dollars),Alcohol-at-home sales at food stores with taxes and tips (millions of nominal U.S. dollars),"Alcohol-at-home sales at other establishments, not elsewhere classified, with taxes and tips (millions of nominal U.S. dollars)",Total alcohol-at-home sales with taxes and tips (millions of nominal U.S. dollars),Alcohol sales at eating and drinking places with taxes and tips (millions of nominal U.S. dollars),Alcohol sales at hotels and motels with taxes and tips (millions of nominal U.S. dollars),"Alcohol-away-from-home sales at other establishments, not elsewhere classified, with taxes and tips (millions of nominal U.S. dollars)",Total alcohol-away-from-home sales with taxes and tips (millions of nominal U.S. dollars)
1997,"268,884.06","9,064.21","10,168.18","25,653.62","44,151.27","4,117.00","1,127.42","363,165.76","120,780.61","112,401.51","1,758.20","16,131.31","11,458.22","11,781.68","27,765.97","10,793.28","22,909.52","335,780.30","20,047.46","13,374.44","17,643.21","51,065.11","33,086.04","4,192.72","4,322.37","41,601.13"
1998,"271,742.00","8,684.18","10,412.85","31,495.08","44,211.74","3,807.23","1,149.58","371,502.66","125,947.53","119,082.49","1,837.88","17,193.54","12,454.71","12,558.32","29,268.99","11,596.32","23,467.81","353,407.59","21,151.48","13,888.50","17,717.13","52,757.11","35,468.66","4,452.51","4,719.57","44,640.74"
1999,"282,015.84","8,747.51","10,538.65","38,704.12","48,074.34","3,465.68","1,171.82","392,717.96","131,380.31","123,481.61","1,917.48","19,195.28","14,355.47","13,368.84","31,091.97","12,625.29","24,300.26","371,716.51","22,110.17","14,841.37","17,558.56","54,510.10","37,977.43","4,951.84","4,977.15","47,906.42"
2000,"284,990.06","9,592.36","11,342.90","46,214.45","53,838.04","3,149.73","1,104.32","410,231.86","139,565.80","130,376.28","2,027.44","21,600.86","17,445.44","17,754.86","31,945.68","12,724.93","24,930.46","398,371.75","23,953.78","15,704.94","17,735.84","57,394.56","41,323.64","5,550.75","5,292.43","52,166.82"
2001,"294,848.88","9,542.27","12,020.34","55,038.87","54,089.89","2,778.31","1,244.96","429,563.52","145,063.88","135,657.53","2,078.54","20,746.99","18,865.09","18,595.25","33,930.07","13,158.42","25,326.03","413,421.80","24,946.75","16,679.96","16,300.38","57,927.09","43,908.36","5,309.48","5,452.20","54,670.04"
2002,"293,439.59","9,644.64","12,242.59","64,312.36","54,659.70","2,420.96","1,315.95","438,035.79","153,014.36","141,328.39","2,186.78","20,620.57","20,223.81","19,453.81","36,501.24","13,417.13","25,526.47","432,272.56","25,203.89","17,214.89","14,659.58","57,078.36","47,502.95","5,257.43","5,698.70","58,459.08"
2003,"299,916.28","8,938.69","12,890.71","73,957.38","58,087.77","2,599.00","1,344.07","457,733.90","161,588.50","150,607.34","2,464.68","20,306.38","21,214.78","20,400.37","38,596.87","14,520.67","26,265.92","455,965.51","25,869.63","17,282.18","15,657.69","58,809.50","49,092.75","5,267.77","5,981.70","60,342.22"
2004,"309,036.03","8,912.52","13,946.27","84,303.28","64,080.80","2,753.90","1,420.77","484,453.57","172,949.66","162,926.31","2,672.05","21,058.34","23,027.78","21,472.46","40,956.69","15,508.58","27,640.26","488,212.13","27,641.48","17,681.79","17,290.03","62,613.30","50,514.09","5,568.86","6,291.07","62,374.02"
2005,"321,374.13","8,536.34","14,282.78","96,241.02","70,074.84","2,929.97","1,699.75","515,138.83","184,071.00","176,104.45","2,902.19","21,250.65","23,348.24","20,760.03","43,606.96","16,221.06","29,432.72","517,697.30","29,074.87","18,089.38","19,037.84","66,202.09","51,837.20","5,739.29","6,472.29","64,048.78"
2006,"331,138.47","8,573.75","14,756.32","107,311.63","75,327.88","3,056.91","1,779.15","541,944.11","198,188.08","185,873.61","3,279.66","21,219.91","24,870.45","22,030.46","45,777.23","17,860.52","31,279.05","550,378.97","31,542.63","18,507.91","20,306.75","70,357.29","54,307.89","5,870.36","6,919.93","67,098.18"
2007,"345,577.63","8,196.28","15,414.30","118,986.39","78,546.76","3,327.79","1,382.44","571,431.59","211,524.28","194,541.92","3,583.74","20,975.10","26,067.27","23,361.54","48,449.03","19,727.39","32,967.63","581,197.90","33,720.32","19,003.87","21,110.46","73,834.65","55,970.13","5,960.55","7,380.15","69,310.83"
2008,"357,658.69","8,640.38","15,743.47","127,663.27","84,045.52","3,465.43","1,508.59","598,725.35","212,286.88","202,738.47","3,665.27","22,329.07","28,181.32","23,458.83","51,798.54","20,211.81","34,398.04","599,068.23","35,044.73","20,321.32","22,839.92","78,205.97","57,592.77","6,380.91","7,444.53","71,418.21"
2009,"355,579.84","8,421.34","15,615.08","128,229.52","77,597.45","3,418.64","1,781.84","590,643.71","207,173.84","203,667.25","3,639.69","21,077.29","26,107.13","22,821.74","56,809.15","19,738.92","35,205.84","596,240.85","35,839.80","20,794.38","20,400.61","77,034.79","57,720.31","6,059.54","7,213.54","70,993.39"
2010,"359,773.91","9,764.37","16,254.58","132,614.39","85,476.82","3,525.62","1,885.67","609,295.36","211,852.02","212,577.61","3,710.88","22,596.26","28,670.46","21,878.94","59,829.37","18,031.20","35,465.55","614,612.29","37,085.54","22,132.64","22,215.29","81,433.47","59,975.11","6,518.83","7,341.62","73,835.56"
2011,"375,576.50","11,008.75","17,410.71","138,628.31","96,103.02","3,712.58","1,530.44","643,970.31","226,779.41","224,047.72","3,801.03","25,038.68","31,886.26","22,672.66","61,845.91","18,376.15","38,007.52","652,455.34","38,136.05","24,062.42","24,757.86","86,956.33","64,490.25","7,254.45","7,528.95","79,273.65"
2012,"384,082.81","11,798.67","18,555.21","145,070.56","102,416.82","3,839.83","1,481.37","667,245.27","241,693.48","235,967.06","4,009.82","27,697.40","33,705.17","23,804.48","63,438.67","18,895.67","38,784.43","687,996.18","40,045.01","25,478.22","25,244.63","90,767.86","69,717.69","8,052.99","7,821.87","85,592.55"
2013,"388,822.91","11,927.82","18,704.52","156,663.45","105,437.77","4,818.86","1,813.12","688,188.45","252,103.59","247,631.83","3,917.33","29,268.84","49,160.79","24,639.17","63,670.69","19,019.54","39,987.32","729,399.10","41,256.36","26,568.36","27,399.44","95,224.16","70,845.59","8,473.39","8,000.29","87,319.27"
2014,"403,905.38","11,678.72","19,691.99","167,499.56","109,506.26","5,825.23","1,866.27","719,973.41","272,475.97","260,473.64","4,074.25","31,061.59","66,265.38","25,713.29","62,811.74","19,659.55","41,604.46","784,139.87","42,834.91","28,207.20","29,594.61","100,636.72","74,995.23","8,952.83","8,245.67","92,193.73"
2015,"411,322.19","11,067.38","20,235.54","175,679.72","108,093.88","6,707.03","2,165.74","735,271.48","295,694.34","283,244.56","4,412.66","32,911.02","81,461.33","27,414.58","65,164.26","20,796.06","43,603.96","854,702.77","44,461.25","29,314.38","29,333.77","103,109.40","80,559.72","9,443.43","8,615.61","98,618.76"
2016,"415,431.72","11,406.68","21,100.25","181,498.61","112,158.78","6,991.47","2,167.09","750,754.60","307,670.09","301,001.50","5,056.12","34,607.75","99,334.66","28,813.16","66,003.99","22,126.60","45,954.94","910,568.81","46,622.93","30,558.85","30,796.35","107,978.13","85,026.65","9,885.25","8,906.83","103,818.73"
2017,"428,707.94","11,542.08","21,487.46","187,993.81","121,299.45","7,086.85","1,883.60","780,001.19","323,903.81","318,813.38","5,591.67","35,537.29","121,343.41","29,662.46","65,775.31","22,551.10","48,236.30","971,414.73","47,946.47","32,384.21","34,180.89","114,511.57","89,660.69","10,103.85","9,302.63","109,067.17"
2018,"441,961.91","12,517.98","22,674.31","195,979.48","121,894.21","7,093.67","1,968.24","804,089.80","341,903.66","339,107.06","6,086.15","36,403.95","122,752.23","30,643.05","66,929.14","23,005.87","50,041.54","1,016,872.65","50,593.40","33,273.32","35,161.70","119,028.42","94,018.58","10,300.08","9,754.18","114,072.84"
2019,"459,568.66","12,748.21","23,777.93","203,326.56","116,916.12","7,119.08","2,134.18","825,590.74","359,931.84","360,396.56","6,566.62","36,986.52","122,261.49","31,277.43","69,714.09","24,283.62","51,145.56","1,062,563.73","52,673.91","34,180.71","34,100.35","120,954.97","98,195.88","10,411.85","10,248.46","118,856.19"
2020,"509,172.50","12,088.50","26,982.83","216,768.05","110,535.41","7,127.88","2,545.46","885,220.63","274,559.78","351,032.09","4,065.85","21,522.07","124,342.12","19,546.79","65,676.52","18,361.39","49,793.57","928,900.18","62,042.27","36,670.81","30,918.81","129,631.89","71,060.27","6,021.95","7,765.46","84,847.68"
2021,"531,917.88","14,251.73","30,687.54","238,429.73","115,815.62","7,581.24","3,303.68","941,987.42","397,522.31","418,763.50","6,867.41","30,584.29","130,464.45","25,228.91","64,032.61","18,105.29","60,519.39","1,152,088.16","66,483.84","38,655.85","35,393.38","140,533.07","104,288.52","8,493.87","9,873.38","122,655.77"
2022,"575,350.13","16,571.29","32,998.87","262,379.91","118,062.66","8,196.03","3,519.84","1,017,078.73","468,327.47","472,501.69","8,354.66","38,556.88","139,497.20","31,502.42","78,621.09","23,552.65","57,931.72","1,318,845.78","67,193.92","42,083.48","39,856.43","149,133.83","121,579.93","10,636.07","12,092.33","144,308.33"
2023,"589,344.69","16,137.06","34,254.54","268,985.91","116,431.98","8,300.33","3,772.48","1,037,226.99","519,519.72","522,749.25","9,561.44","46,946.04","139,926.63","37,171.27","78,719.90","27,430.07","63,550.28","1,445,574.60","68,671.45","42,710.79","38,117.20","149,499.44","135,692.88","12,951.05","14,025.98","162,669.91"
2024,"603,453.50","15,183.85","36,364.68","276,447.75","116,942.99","8,376.73","4,377.79","1,061,147.29","552,742.50","550,650.81","9,829.09","49,683.06","142,152.42","39,771.70","81,394.84","28,129.43","66,408.16","1,520,762.01","70,348.89","43,102.41","38,157.94","151,609.24","143,111.23","13,684.68","16,079.70","172,875.61"
